threshold,good_approved,good_rejected,bad_approved,bad_rejected,benefit_usd,base_benefit_usd,incremental_saving_usd,roi_vs_base,recall_default,approval_rate
0.36,74,39,6,41,9450.0,-90150.0,99600.0,1.1048,0.8723,0.5
0.32,68,45,5,42,8850.0,-90150.0,99000.0,1.0982,0.8936,0.4562
0.33,68,45,5,42,8850.0,-90150.0,99000.0,1.0982,0.8936,0.4562
0.31,67,46,5,42,8250.0,-90150.0,98400.0,1.0915,0.8936,0.45
0.35,72,41,6,41,8250.0,-90150.0,98400.0,1.0915,0.8723,0.4875
0.3,66,47,5,42,7650.0,-90150.0,97800.0,1.0849,0.8936,0.4437
0.34,71,42,6,41,7650.0,-90150.0,97800.0,1.0849,0.8723,0.4813
0.37,76,37,7,40,7650.0,-90150.0,97800.0,1.0849,0.8511,0.5188
0.29,64,49,5,42,6450.0,-90150.0,96600.0,1.0715,0.8936,0.4313
0.27,62,51,5,42,5250.0,-90150.0,95400.0,1.0582,0.8936,0.4188
0.28,62,51,5,42,5250.0,-90150.0,95400.0,1.0582,0.8936,0.4188
0.26,61,52,5,42,4650.0,-90150.0,94800.0,1.0516,0.8936,0.4125
0.38,76,37,8,39,4650.0,-90150.0,94800.0,1.0516,0.8298,0.525
0.16,45,68,2,45,4050.0,-90150.0,94200.0,1.0449,0.9574,0.2938
0.25,60,53,5,42,4050.0,-90150.0,94200.0,1.0449,0.8936,0.4062
0.24,59,54,5,42,3450.0,-90150.0,93600.0,1.0383,0.8936,0.4
0.23,57,56,5,42,2250.0,-90150.0,92400.0,1.025,0.8936,0.3875
0.15,41,72,2,45,1650.0,-90150.0,91800.0,1.0183,0.9574,0.2687
0.39,76,37,9,38,1650.0,-90150.0,91800.0,1.0183,0.8085,0.5312
0.5,86,27,11,36,1650.0,-90150.0,91800.0,1.0183,0.766,0.6062
0.17,45,68,3,44,1050.0,-90150.0,91200.0,1.0116,0.9362,0.3
0.22,55,58,5,42,1050.0,-90150.0,91200.0,1.0116,0.8936,0.375
0.49,84,29,11,36,450.0,-90150.0,90600.0,1.005,0.766,0.5938
0.41,78,35,10,37,-150.0,-90150.0,90000.0,0.9983,0.7872,0.55
0.48,83,30,11,36,-150.0,-90150.0,90000.0,0.9983,0.766,0.5875
0.14,37,76,2,45,-750.0,-90150.0,89400.0,0.9917,0.9574,0.2437
0.18,47,66,4,43,-750.0,-90150.0,89400.0,0.9917,0.9149,0.3187
0.4,77,36,10,37,-750.0,-90150.0,89400.0,0.9917,0.7872,0.5437
0.53,87,26,12,35,-750.0,-90150.0,89400.0,0.9917,0.7447,0.6188
0.21,51,62,5,42,-1350.0,-90150.0,88800.0,0.985,0.8936,0.35
0.46,81,32,11,36,-1350.0,-90150.0,88800.0,0.985,0.766,0.575
0.47,81,32,11,36,-1350.0,-90150.0,88800.0,0.985,0.766,0.575
0.51,86,27,12,35,-1350.0,-90150.0,88800.0,0.985,0.7447,0.6125
0.52,86,27,12,35,-1350.0,-90150.0,88800.0,0.985,0.7447,0.6125
0.13,35,78,2,45,-1950.0,-90150.0,88200.0,0.9784,0.9574,0.2313
0.19,50,63,5,42,-1950.0,-90150.0,88200.0,0.9784,0.8936,0.3438
0.2,50,63,5,42,-1950.0,-90150.0,88200.0,0.9784,0.8936,0.3438
0.44,80,33,11,36,-1950.0,-90150.0,88200.0,0.9784,0.766,0.5687
0.45,80,33,11,36,-1950.0,-90150.0,88200.0,0.9784,0.766,0.5687
0.42,79,34,11,36,-2550.0,-90150.0,87600.0,0.9717,0.766,0.5625
0.43,79,34,11,36,-2550.0,-90150.0,87600.0,0.9717,0.766,0.5625
0.12,32,81,2,45,-3750.0,-90150.0,86400.0,0.9584,0.9574,0.2125
0.11,29,84,2,45,-5550.0,-90150.0,84600.0,0.9384,0.9574,0.1938
0.09,28,85,2,45,-6150.0,-90150.0,84000.0,0.9318,0.9574,0.1875
0.1,28,85,2,45,-6150.0,-90150.0,84000.0,0.9318,0.9574,0.1875
0.54,88,25,14,33,-6150.0,-90150.0,84000.0,0.9318,0.7021,0.6375
0.07,21,92,1,46,-7350.0,-90150.0,82800.0,0.9185,0.9787,0.1375
0.08,24,89,2,45,-8550.0,-90150.0,81600.0,0.9052,0.9574,0.1625
0.06,18,95,1,46,-9150.0,-90150.0,81000.0,0.8985,0.9787,0.1187
0.55,89,24,16,31,-11550.0,-90150.0,78600.0,0.8719,0.6596,0.6562
0.05,12,101,1,46,-12750.0,-90150.0,77400.0,0.8586,0.9787,0.0813
0.57,91,22,17,30,-13350.0,-90150.0,76800.0,0.8519,0.6383,0.675
0.56,89,24,17,30,-14550.0,-90150.0,75600.0,0.8386,0.6383,0.6625
0.58,91,22,19,28,-19350.0,-90150.0,70800.0,0.7854,0.5957,0.6875
0.59,93,20,20,27,-21150.0,-90150.0,69000.0,0.7654,0.5745,0.7063
0.6,93,20,21,26,-24150.0,-90150.0,66000.0,0.7321,0.5532,0.7125
0.61,95,18,22,25,-25950.0,-90150.0,64200.0,0.7121,0.5319,0.7312
0.66,101,12,24,23,-28350.0,-90150.0,61800.0,0.6855,0.4894,0.7812
0.65,100,13,24,23,-28950.0,-90150.0,61200.0,0.6789,0.4894,0.775
0.64,99,14,24,23,-29550.0,-90150.0,60600.0,0.6722,0.4894,0.7688
0.63,97,16,24,23,-30750.0,-90150.0,59400.0,0.6589,0.4894,0.7562
0.67,102,11,25,22,-30750.0,-90150.0,59400.0,0.6589,0.4681,0.7937
0.62,96,17,24,23,-31350.0,-90150.0,58800.0,0.6522,0.4894,0.75
0.74,104,9,26,21,-32550.0,-90150.0,57600.0,0.6389,0.4468,0.8125
0.75,104,9,26,21,-32550.0,-90150.0,57600.0,0.6389,0.4468,0.8125
0.68,103,10,26,21,-33150.0,-90150.0,57000.0,0.6323,0.4468,0.8063
0.69,103,10,26,21,-33150.0,-90150.0,57000.0,0.6323,0.4468,0.8063
0.7,103,10,26,21,-33150.0,-90150.0,57000.0,0.6323,0.4468,0.8063
0.71,103,10,26,21,-33150.0,-90150.0,57000.0,0.6323,0.4468,0.8063
0.72,103,10,26,21,-33150.0,-90150.0,57000.0,0.6323,0.4468,0.8063
0.73,103,10,26,21,-33150.0,-90150.0,57000.0,0.6323,0.4468,0.8063
0.76,104,9,27,20,-35550.0,-90150.0,54600.0,0.6057,0.4255,0.8187
0.77,104,9,29,18,-41550.0,-90150.0,48600.0,0.5391,0.383,0.8313
0.78,104,9,30,17,-44550.0,-90150.0,45600.0,0.5058,0.3617,0.8375
0.79,105,8,35,12,-58950.0,-90150.0,31200.0,0.3461,0.2553,0.875
0.8,107,6,37,10,-63750.0,-90150.0,26400.0,0.2928,0.2128,0.9
0.81,108,5,40,7,-72150.0,-90150.0,18000.0,0.1997,0.1489,0.925
0.82,108,5,41,6,-75150.0,-90150.0,15000.0,0.1664,0.1277,0.9313
0.86,112,1,42,5,-75750.0,-90150.0,14400.0,0.1597,0.1064,0.9625
0.85,111,2,42,5,-76350.0,-90150.0,13800.0,0.1531,0.1064,0.9563
0.84,110,3,42,5,-76950.0,-90150.0,13200.0,0.1464,0.1064,0.95
0.83,108,5,42,5,-78150.0,-90150.0,12000.0,0.1331,0.1064,0.9375
0.87,112,1,43,4,-78750.0,-90150.0,11400.0,0.1265,0.0851,0.9688
0.88,113,0,44,3,-81150.0,-90150.0,9000.0,0.0998,0.0638,0.9812
0.89,113,0,46,1,-87150.0,-90150.0,3000.0,0.0333,0.0213,0.9938
0.9,113,0,46,1,-87150.0,-90150.0,3000.0,0.0333,0.0213,0.9938
